"","bodycheck","skipmeal","restrict","sad","relax","sleep"
"bodycheck",0,-0.0326440800623956,0.158028594576233,-0.0367488888549482,0.137521288116737,-0.0605526002119436
"skipmeal",-0.0326440800623956,0,0.821711657536857,-0.0493911074194519,0.0438016232508192,0.175296247549975
"restrict",0.158028594576233,0.821711657536857,0,0.0847579135296847,0.0222949416621622,-0.213044228235585
"sad",-0.0367488888549482,-0.0493911074194519,0.0847579135296847,0,0.187848829102908,0.0224844103579019
"relax",0.137521288116737,0.0438016232508192,0.0222949416621622,0.187848829102908,0,-0.0468695009762913
"sleep",-0.0605526002119436,0.175296247549975,-0.213044228235585,0.0224844103579019,-0.0468695009762913,0
