"","eat_anx","physsens_eat","eat_public","binge","skipmeal","rumination"
"eat_anx",-0.119526970948814,-0.33015099087969,-0.012679810740501,-0.156067616814379,0.23501719143475,-0.191664044779105
"physsens_eat",-0.119560737384704,0.181892692561597,0.148207513662528,0.215698437012955,-0.192775830650533,0.0828929556053844
"eat_public",0.246747734858895,0.126158165302969,0.288958037436235,0.181924360234798,-0.0339600823444669,0.0810761544683608
"binge",-0.0372798898572589,0.232810602111287,0.0663261883883335,0.0653995794282008,0.0137620760817453,-0.0729121158826173
"skipmeal",-0.101569758185437,-0.196333432698283,0.0421458027592663,-0.0438229678064914,0.395298402038646,-0.136880232891
"rumination",0.0775976803099803,0.108588027679863,0.0638114134171405,-0.186500840564178,0.0868302139119237,0.382780662458905
