"","eat_anx","si","heartrace","laxdiur","sleep","foodrules"
"eat_anx",0.147752603382541,-0.164883911517514,-0.187939028009747,0.101405102196351,-0.185624744539512,0.0827652543533212
"si",-0.131629620270223,0.4687467046765,0.200257887948403,-0.127127142009271,0.214686611766007,0.0517803943163804
"heartrace",-0.313544560584216,0.0478601684607817,0.140579360288541,-0.0966969285485543,0.173415246416877,-0.02703107721404
"laxdiur",-0.321443107221228,-0.254053759641973,-0.0792006729009389,-0.0864703931040513,0.0976096807183405,-0.18567187260604
"sleep",-0.0310572738347571,-0.000554677899804736,-0.00689321579364736,-0.00190554944233863,0.682856402165012,-0.00526828448195275
"foodrules",0.131622592258388,0.145050623985927,0.0896941229958124,-0.0529475586591658,-0.0420165355031902,0.479292282393633
