"","fearloc","iuc","urge_restrict","feelfat","exercise","bodydiss"
"fearloc",0,0.119264985159978,-0.0665977141923517,0.0902192204495542,0.000476933474315736,0.239831300744818
"iuc",0.119264985159978,0,0.171689662288809,0.170142741810758,-0.0557872207493557,0.138191293095488
"urge_restrict",-0.0665977141923517,0.171689662288809,0,0.0924639101591157,0.3155990791384,0.153560323711065
"feelfat",0.0902192204495542,0.170142741810758,0.0924639101591157,0,0.0751798704972915,0.250876319637308
"exercise",0.000476933474315736,-0.0557872207493557,0.3155990791384,0.0751798704972915,0,0.169032304582464
"bodydiss",0.239831300744818,0.138191293095488,0.153560323711065,0.250876319637308,0.169032304582464,0
