"","bodycheck","skipmeal","stress","restrict","agitated","sleep"
"bodycheck",0,-0.0596158589032588,-0.00248006715288982,0.158542567822421,0.043393521188308,-0.294620388400708
"skipmeal",-0.0596158589032588,0,-0.195447956102207,0.638250118212417,0.082366966149132,-0.100890317058154
"stress",-0.00248006715288982,-0.195447956102207,0,0.0634957793571873,0.794983921788968,-0.133955540235692
"restrict",0.158542567822421,0.638250118212417,0.0634957793571873,0,-0.00454675280810635,0.134969618374977
"agitated",0.043393521188308,0.082366966149132,0.794983921788968,-0.00454675280810635,0,0.150864607783994
"sleep",-0.294620388400708,-0.100890317058154,-0.133955540235692,0.134969618374977,0.150864607783994,0
