"","skipmeal","mistakes","sleep","guilty","heartrace","shame"
"skipmeal",0,0.155955177796808,-0.222169829195719,-0.136828077622231,0.279230829435302,0.327210414889411
"mistakes",0.155955177796808,0,-0.00285617493921025,-0.164102605484591,-0.0360959049567218,0.0905119134721324
"sleep",-0.222169829195719,-0.00285617493921025,0,-0.0294796235893151,0.0245558530112614,0.022123157819418
"guilty",-0.136828077622231,-0.164102605484591,-0.0294796235893151,0,-0.00137223334017688,0.668501918911924
"heartrace",0.279230829435302,-0.0360959049567218,0.0245558530112614,-0.00137223334017688,0,-0.00535310447414248
"shame",0.327210414889411,0.0905119134721324,0.022123157819418,0.668501918911924,-0.00535310447414248,0
