"","eat_public","sens_body","hunger_anx","urge_restrict","food_intrus","sleep"
"eat_public",0.319591318054184,0.00684608190159278,0.0826604370983667,0.295531967273915,-0.0330673168911161,-0.071820925011463
"sens_body",0.0697018077413508,0.271592762889625,0.324489987829012,-0.0903332428360695,-0.0482861666819779,-0.0664902396356351
"hunger_anx",0.012388340454333,0.0369476413387083,0.202497292975239,-0.186771854899028,-0.191149134174891,0.0963350385186489
"urge_restrict",-0.163511968567755,-0.148797756170236,-0.258184994096645,0.22779209987511,-0.125708650389829,0.127432144970185
"food_intrus",0.079575830539907,0.0967478429527489,-0.0778262530741345,0.261937201468475,0.175604454515031,0.0225291216607079
"sleep",-0.000400783970282926,0.000242038154208149,-0.00105832362643552,-0.000668295903174767,-0.000618321724928323,0.704503652488615
