"","physsens_eat","smallportion","avoid_food","impulse","urge_restrict","binge"
"physsens_eat",0,0.469220472521217,0.123936788667511,0.0140955977146161,-0.260668432655223,0.265162324225795
"smallportion",0.469220472521217,0,0.00352645468823726,0.0740097264617691,0.4345420181701,-0.464903722980993
"avoid_food",0.123936788667511,0.00352645468823726,0,0.13675930887143,0.0399573524171431,-0.207623499568667
"impulse",0.0140955977146161,0.0740097264617691,0.13675930887143,0,-0.127524839121684,0.240598652111764
"urge_restrict",-0.260668432655223,0.4345420181701,0.0399573524171431,-0.127524839121684,0,-0.136790910749898
"binge",0.265162324225795,-0.464903722980993,-0.207623499568667,0.240598652111764,-0.136790910749898,0
