"","ridthoughts","intrus_thought","compulsion","urge_restrict","shame","badperson"
"ridthoughts",0,0.430219607705792,-0.156529248699886,0.153687770840951,-0.128941389802371,-0.0375910484844169
"intrus_thought",0.430219607705792,0,0.758129755296266,0.347882450101457,-0.0880094116579528,0.282095524954479
"compulsion",-0.156529248699886,0.758129755296266,0,-0.288664224974104,0.160607038235642,-0.182456708868185
"urge_restrict",0.153687770840951,0.347882450101457,-0.288664224974104,0,0.204590308619169,-0.178342694212391
"shame",-0.128941389802371,-0.0880094116579528,0.160607038235642,0.204590308619169,0,0.168278611310441
"badperson",-0.0375910484844169,0.282095524954479,-0.182456708868185,-0.178342694212391,0.168278611310441,0
