"","sleep","fowg","feelfat","wtshdiss","bodydiss","bodycheck"
"sleep",0,0.269434917066423,-0.0686188541903768,-0.0394534336278688,0.0643813688172517,-0.1789762418486
"fowg",0.269434917066423,0,0.343208159532572,0.191108384589505,0.0636098854837338,0.158144801045919
"feelfat",-0.0686188541903768,0.343208159532572,0,0.243438688003159,0.186396764032126,-0.0918098272106808
"wtshdiss",-0.0394534336278688,0.191108384589505,0.243438688003159,0,0.564116363638058,-0.08304308052702
"bodydiss",0.0643813688172517,0.0636098854837338,0.186396764032126,0.564116363638058,0,-0.0806664181065507
"bodycheck",-0.1789762418486,0.158144801045919,-0.0918098272106808,-0.08304308052702,-0.0806664181065507,0
