"","desirethin","restrict","sleep","feelfat","food_intrus","bodydiss"
"desirethin",0,0.472659222759187,0.062570050400843,0.221169140436489,0.123110522578365,0.103595972445162
"restrict",0.472659222759187,0,-0.0158310062774685,0.132968637752632,-3.66158812384847e-05,0.159131818914094
"sleep",0.062570050400843,-0.0158310062774685,0,0.00186717010548578,0.129049965203989,0.0126954864116203
"feelfat",0.221169140436489,0.132968637752632,0.00186717010548578,0,-0.185604100009916,0.00158974062967775
"food_intrus",0.123110522578365,-3.66158812384847e-05,0.129049965203989,-0.185604100009916,0,0.174622667311188
"bodydiss",0.103595972445162,0.159131818914094,0.0126954864116203,0.00158974062967775,0.174622667311188,0
