"","physsens","tired","skipmeal","heartrace","sleep","physsens_eat"
"physsens",0,0.00821484825275822,0.206673736342978,0.0317450350439777,-0.0442050562146615,0.154473659865467
"tired",0.00821484825275822,0,0.021074790098899,0.0726153639473874,0.102660722096748,-0.153594547413146
"skipmeal",0.206673736342978,0.021074790098899,0,0.11671873509735,-0.213110966160819,-0.210459387509195
"heartrace",0.0317450350439777,0.0726153639473874,0.11671873509735,0,-0.0185740442828189,0.103840886997833
"sleep",-0.0442050562146615,0.102660722096748,-0.213110966160819,-0.0185740442828189,0,-0.00776136847219874
"physsens_eat",0.154473659865467,-0.153594547413146,-0.210459387509195,0.103840886997833,-0.00776136847219874,0
