"","smallportion","foodrules","restrict","exercise","bodydiss","feelfat"
"smallportion",0,0.102184882216819,-0.0473253381401465,-0.210502218518228,0.254999767783186,-0.214140121412847
"foodrules",0.102184882216819,0,0.27888779106818,0.00548882674076536,-0.152264949424438,0.110529956284156
"restrict",-0.0473253381401465,0.27888779106818,0,0.191885303117994,0.102357314195778,0.0982648114947501
"exercise",-0.210502218518228,0.00548882674076536,0.191885303117994,0,-0.258910462280736,0.163872026819892
"bodydiss",0.254999767783186,-0.152264949424438,0.102357314195778,-0.258910462280736,0,0.607654565531163
"feelfat",-0.214140121412847,0.110529956284156,0.0982648114947501,0.163872026819892,0.607654565531163,0
