"","desirethin","restrict","sleep","feelfat","food_intrus","bodydiss"
"desirethin",0.166818673125397,0.0241403377199352,0.00938219451071668,0.134124925653399,-0.0852345285654133,0.116048237864282
"restrict",0.0900772522642084,0.191588430382181,-0.0954255213312763,-0.0403144001782212,-0.0252226984681203,-0.0169909246632557
"sleep",0.00179481850744245,-0.00037098554798453,0.701800759349402,-0.00133874843967698,0.000990036693617352,-0.00073256788660397
"feelfat",0.283963486336414,0.149454384339822,-0.0116320636302586,0.236471513977006,-0.0628419965305419,0.0985161035543565
"food_intrus",-0.183293887643455,-0.177825030943888,0.187459128672593,0.115651763780392,0.201045690864935,-0.125475143612621
"bodydiss",-0.0912414583219475,0.0906734108142727,-0.0840803055452617,-0.0477811349636357,0.220731895764913,-0.065253147794061
