"","bodycheck","skipmeal","stress","restrict","agitated","sleep"
"bodycheck",0.124808178243953,-0.0863222022611523,0.0576767698386542,-0.0106367284179163,0.0660605410774208,-0.0491137793030136
"skipmeal",0.0349175917753194,-0.0420106458758666,0.0511637404388692,-0.00337129645580553,0.0224386169371608,-0.099048145194458
"stress",0.136336888855675,0.0878004419378996,0.144020564105448,-0.040890089635918,-0.0937665105335632,-0.102622649015867
"restrict",-0.148710426735385,0.372001341404187,-0.0198557955945701,0.348585515763143,-0.0512741554064424,0.13242154717221
"agitated",-0.115855678761187,-0.192230882991676,0.161905451007305,-0.108582997469092,0.235867544579282,0.104300193168369
"sleep",0.000233088797759239,-0.000499135262548151,-7.45158166286847e-05,-0.000453028562905369,-0.000149347660402042,0.685358055230875
