"","tired","urge_restrict","agitated","stress","physsens_eat","relax"
"tired",0,-0.00288713275302923,0.120500707879918,-0.0145699847166494,-0.282067131046733,0.117544205715155
"urge_restrict",-0.00288713275302923,0,0.0681359521822959,-0.0974832845868364,0.115821839608878,0.127856120232526
"agitated",0.120500707879918,0.0681359521822959,0,0.39300695742069,-0.0716240894040512,0.329999149863937
"stress",-0.0145699847166494,-0.0974832845868364,0.39300695742069,0,0.0582444846956429,0.409216723770843
"physsens_eat",-0.282067131046733,0.115821839608878,-0.0716240894040512,0.0582444846956429,0,0.100982136489932
"relax",0.117544205715155,0.127856120232526,0.329999149863937,0.409216723770843,0.100982136489932,0
