"","highstand","tired","iuc","bodycheck","physsens","hunger_anx"
"highstand",0.352912480991373,0.250456317534411,0.0848957149005763,0.0556432507294953,0.112084833385173,0.0660267303882772
"tired",0.117837840333078,0.343119769071861,-0.0482295650125242,-0.0486991450148148,0.255626475896027,0.228802203347857
"iuc",0.266298595008137,-0.00559108305861716,0.534271848673115,-0.0797528787141271,-0.138366771971471,-0.0543947626522896
"bodycheck",0.0260804505760257,-0.0807659588348769,-0.12960652940523,0.443900962693513,0.277062633522632,0.218047129490151
"physsens",-0.0235040363691948,0.219124233275397,0.00280692095199665,-0.165662821184257,-0.0338296426549821,-0.166478896383052
"hunger_anx",0.0773998282412559,-0.227506859111621,0.166875953999692,0.0113626293481787,-0.195862186345928,-0.0129725580718038
