"graph","type","node","measure","value"
"graph 1","PCC","skipmeal","Strength",1.00920905205298
"graph 1","PCC","mistakes","Strength",-0.689002806411084
"graph 1","PCC","sleep","Strength",-1.06393684130232
"graph 1","PCC","guilty","Strength",0.70309412490624
"graph 1","PCC","heartrace","Strength",-0.949125834664148
"graph 1","PCC","shame","Strength",0.989762305418332
"graph 1","PDC","skipmeal","InStrength",0.593001859159476
"graph 1","PDC","mistakes","InStrength",-0.588238143338769
"graph 1","PDC","sleep","InStrength",0.271241317544574
"graph 1","PDC","guilty","InStrength",1.577265535967
"graph 1","PDC","heartrace","InStrength",-0.817822700638393
"graph 1","PDC","shame","InStrength",-1.03544786869388
"graph 1","PDC","skipmeal","OutStrength",1.03416219040694
"graph 1","PDC","mistakes","OutStrength",-0.775669508963674
"graph 1","PDC","sleep","OutStrength",-1.41117082186979
"graph 1","PDC","guilty","OutStrength",-0.236041887561069
"graph 1","PDC","heartrace","OutStrength",0.295953903630397
"graph 1","PDC","shame","OutStrength",1.0927661243572
