"","highstand","reject","scared","eat_worry","feelfat","iuc"
"highstand",0.300833138929613,0.0298184457485401,0.0540905131575032,-0.061657193341309,0.0987223083883174,0.0368343718605865
"reject",0.105877286026768,0.263559897315346,0.0263274838425121,-0.167398733781264,-0.144914301529535,0.0551530779588868
"scared",0.0672015916770504,-0.209474927459458,0.0903145277943694,0.236825175888339,-0.171054900145364,0.15920545460681
"eat_worry",0.0632775119315288,-0.161772495750331,0.221789974295366,0.226256467587306,-0.0139011224271815,0.196604397103098
"feelfat",0.00104848805438483,-0.00839461043629563,0.0875380334633644,-0.108741361487601,0.452866028737021,-0.0965679408701487
"iuc",0.0520863462490633,0.0129194441552418,0.0962701725473451,0.28637067074515,0.0387191031496963,0.37394501975291
