"","highstand","tired","wtshdiss","bodydiss","mistakes","eat_public"
"highstand",0,0.197265486994767,-0.235451976617703,-0.102731068453369,0.361344381146754,-0.217187096973194
"tired",0.197265486994767,0,0.281862702098285,0.307258521227564,0.0365344346057191,0.0513855215459048
"wtshdiss",-0.235451976617703,0.281862702098285,0,-0.0918461169671308,0.13299161394853,-0.00351633321096614
"bodydiss",-0.102731068453369,0.307258521227564,-0.0918461169671308,0,0.142157174356802,-0.164726796246137
"mistakes",0.361344381146754,0.0365344346057191,0.13299161394853,0.142157174356802,0,0.27632163281399
"eat_public",-0.217187096973194,0.0513855215459048,-0.00351633321096614,-0.164726796246137,0.27632163281399,0
