"","vomit","binge","hunger_anx","foodrules","fearloc","avoid_food"
"vomit",0,0.968254397288553,-0.218356154866225,0.143292194129361,-0.00997511175071471,0.120859211156142
"binge",0.968254397288553,0,0.144245247043016,-0.139821945635323,-0.0161672157167742,-0.0613602366084988
"hunger_anx",-0.218356154866225,0.144245247043016,0,0.397913509640346,0.252235051056178,0.471883575654853
"foodrules",0.143292194129361,-0.139821945635323,0.397913509640346,0,0.0814330736090264,0.050693838218196
"fearloc",-0.00997511175071471,-0.0161672157167742,0.252235051056178,0.0814330736090264,0,-0.0289777271248938
"avoid_food",0.120859211156142,-0.0613602366084988,0.471883575654853,0.050693838218196,-0.0289777271248938,0
