"","eat_anx","si","heartrace","laxdiur","sleep","foodrules"
"eat_anx",0,0.117678507615698,0.080969047980487,0.248537875514185,-0.152257342538869,0.280497427447329
"si",0.117678507615698,0,0.141840161935164,-0.121160706917431,0.18431494599789,0.0623301326220711
"heartrace",0.080969047980487,0.141840161935164,0,0.212312023117964,-0.0580193177239731,-0.188018000381169
"laxdiur",0.248537875514185,-0.121160706917431,0.212312023117964,0,0.132398002311771,0.15843537209252
"sleep",-0.152257342538869,0.18431494599789,-0.0580193177239731,0.132398002311771,0,-0.0342882979667559
"foodrules",0.280497427447329,0.0623301326220711,-0.188018000381169,0.15843537209252,-0.0342882979667559,0
