"graph","type","node","measure","value"
"graph 1","PCC","skipmeal","Strength",1.7083575759944
"graph 1","PCC","vomit","Strength",-0.793413706218241
"graph 1","PCC","smallportion","Strength",-1.08581371325708
"graph 1","PCC","thought_death","Strength",0.219329356851216
"graph 1","PCC","restrict","Strength",-0.35869809183485
"graph 1","PCC","foodrules","Strength",0.310238578464555
"graph 1","PDC","skipmeal","InStrength",1.00769699706449
"graph 1","PDC","vomit","InStrength",0.981328999534501
"graph 1","PDC","smallportion","InStrength",-0.293844790014479
"graph 1","PDC","thought_death","InStrength",-1.45916985214277
"graph 1","PDC","restrict","InStrength",-0.741771682645221
"graph 1","PDC","foodrules","InStrength",0.505760328203476
"graph 1","PDC","skipmeal","OutStrength",-1.44322384064764
"graph 1","PDC","vomit","OutStrength",0.381592949276794
"graph 1","PDC","smallportion","OutStrength",1.0864061791744
"graph 1","PDC","thought_death","OutStrength",-0.279262451963106
"graph 1","PDC","restrict","OutStrength",0.987721357871448
"graph 1","PDC","foodrules","OutStrength",-0.733234193711891
