"","hunger_anx","avoid_emo","wtshdiss","bodydiss","highstand","eat_anx"
"hunger_anx",0,0.391587919743637,0.428877841456583,-0.427791508588711,0.14669469075907,0.0234938943506596
"avoid_emo",0.391587919743637,0,-0.116224688169774,0.0886519159760806,0.406756347916814,0.263140767798691
"wtshdiss",0.428877841456583,-0.116224688169774,0,0.364719407297583,-0.372236874069187,-0.215253534193549
"bodydiss",-0.427791508588711,0.0886519159760806,0.364719407297583,0,0.200893741546092,0.0807568263961269
"highstand",0.14669469075907,0.406756347916814,-0.372236874069187,0.200893741546092,0,-0.260474507776846
"eat_anx",0.0234938943506596,0.263140767798691,-0.215253534193549,0.0807568263961269,-0.260474507776846,0
