"","eat_anx","ineffective","physsens","urge_restrict","worthless","ridthoughts"
"eat_anx",0.0955958553142696,-0.0536810165376154,0.113187500064516,0.045374790188136,-0.18228073707632,-0.0859088020045567
"ineffective",-0.0650342039893246,0.627995197126167,-0.173887171078095,0.0997719725869041,0.221932392164321,-0.00876284097615228
"physsens",0.0973769705797577,0.0601177004379976,0.238230818548081,0.0177241925969665,-0.0168387419931581,0.06316348472728
"urge_restrict",0.172601526548848,-0.28216091391507,0.247905508779475,-0.0764184186321743,0.0467193464689828,0.023318292168185
"worthless",-0.000493242244877472,-0.0739304611880064,0.191905270654725,-0.144532654983156,0.329359373050285,-0.0400400389602458
"ridthoughts",-0.0704146446803579,0.0937623565721528,-0.0247254281960373,0.0864748591308586,-0.0693034670666647,0.09407133463299
