"graph","type","node","measure","value"
"graph 1","PCC","highstand","Strength",1.6644346526241
"graph 1","PCC","tired","Strength",0.0457871820882432
"graph 1","PCC","wtshdiss","Strength",-0.822976304379979
"graph 1","PCC","bodydiss","Strength",-0.397158255890465
"graph 1","PCC","mistakes","Strength",0.552591421882738
"graph 1","PCC","eat_public","Strength",-1.04267869632464
"graph 1","PDC","highstand","InStrength",0.749752775780209
"graph 1","PDC","tired","InStrength",-0.619028292440978
"graph 1","PDC","wtshdiss","InStrength",-0.644159166601804
"graph 1","PDC","bodydiss","InStrength",0.728343568745985
"graph 1","PDC","mistakes","InStrength",-1.34966143994202
"graph 1","PDC","eat_public","InStrength",1.13475255445861
"graph 1","PDC","highstand","OutStrength",1.83387207942903
"graph 1","PDC","tired","OutStrength",-0.185763839211238
"graph 1","PDC","wtshdiss","OutStrength",-0.273060534413477
"graph 1","PDC","bodydiss","OutStrength",-0.56042158097983
"graph 1","PDC","mistakes","OutStrength",0.25675121415546
"graph 1","PDC","eat_public","OutStrength",-1.07137733897994
