"","sens_body","fowg","bodydiss","feelfat","highstand","wtshdiss"
"sens_body",-0.0187236036805523,-0.0309737115723461,-0.0672016422340826,-0.120774076868669,-0.0864296523520773,0.00449498021202252
"fowg",0.0440380320147935,0.30722565185821,0.145099921832401,0.2484746495712,0.198966880854758,0.342727609041837
"bodydiss",-0.00205576734475746,0.122826686600421,0.350539349863388,0.13937141701564,0.22093401804137,0.395740693138925
"feelfat",-0.0323100950801109,0.174268703530736,0.0200406056650625,0.196422288628002,-0.160383849092611,-0.02298952346376
"highstand",0.0929337470983012,0.170072051164167,0.175225570118189,0.0566631551956828,0.397699995701302,0.0638270396477646
"wtshdiss",0.0760739946409367,0.120456748941266,-0.119980506134325,-0.0325119533108918,0.119088092261615,-0.0767133859648732
