"","highstand","tired","iuc","bodycheck","physsens","hunger_anx"
"highstand",0,-0.24193051418765,0.214716481241668,0.341790600180539,-0.375062157241151,0.361648659913322
"tired",-0.24193051418765,0,0.0797504789456639,0.052412724059381,-0.05416760209532,0.155741136319772
"iuc",0.214716481241668,0.0797504789456639,0,-0.239435740604761,0.208967578236624,-0.264861172411094
"bodycheck",0.341790600180539,0.052412724059381,-0.239435740604761,0,0.264023461363029,-0.052562385853163
"physsens",-0.375062157241151,-0.05416760209532,0.208967578236624,0.264023461363029,0,0.651109095807114
"hunger_anx",0.361648659913322,0.155741136319772,-0.264861172411094,-0.052562385853163,0.651109095807114,0
