"","reject","saa","urge_restrict","bodydiss","foodrules","mistakes"
"reject",0,0.0689678625693488,0.0665067880672097,-0.115011871384922,-0.0242187627035824,0.564379694170117
"saa",0.0689678625693488,0,-0.00169247151154755,-0.0930188445460772,0.476913956820113,0.228239753155607
"urge_restrict",0.0665067880672097,-0.00169247151154755,0,0.428723822707839,0.141825342666118,-0.0629900367591629
"bodydiss",-0.115011871384922,-0.0930188445460772,0.428723822707839,0,-0.0289217532239515,0.0605063110607199
"foodrules",-0.0242187627035824,0.476913956820113,0.141825342666118,-0.0289217532239515,0,-0.124320483674379
"mistakes",0.564379694170117,0.228239753155607,-0.0629900367591629,0.0605063110607199,-0.124320483674379,0
