"","iuc","highstand","sens_body","mistakes","stress","avoid_emo"
"iuc",0.125613794606431,0.0732934962768663,0.071812858939193,0.080004522658397,0.0152133711084783,-0.0212067466859355
"highstand",0.0590005871543513,0.0167031674324507,0.0255647222486177,0.0653673429249282,-0.135858704771157,-0.254190607398562
"sens_body",0.0580985322381365,0.0993989844535799,0.206481147041925,0.0992969951471744,-0.0663896834426682,0.0557548413779763
"mistakes",-0.0114011724134,0.00176499156963067,0.0263436801287316,0.0155160597423861,0.212741731720614,0.134693485435682
"stress",0.0415299624572734,-0.0871184086024436,0.0612990509670819,0.00610729345214392,0.1182830580153,-0.0282072614510899
"avoid_emo",-0.056287056422415,0.21474071501819,0.115724570180964,-0.0758618099842926,0.0753714113458407,0.425610992219509
