"","saa","rumination","eat_public","restrict","vomit","thought_death"
"saa",0,0.134367233705377,-0.0836088541157883,-0.509759675653893,-0.0987257739059478,0.214507528219893
"rumination",0.134367233705377,0,0.196272515094726,0.0835254989164709,-0.0550246002714255,0.0110265392273078
"eat_public",-0.0836088541157883,0.196272515094726,0,-0.0740749912475473,0.221884189845048,-0.00956330675601269
"restrict",-0.509759675653893,0.0835254989164709,-0.0740749912475473,0,0.171291468039991,0.265708081544265
"vomit",-0.0987257739059478,-0.0550246002714255,0.221884189845048,0.171291468039991,0,-0.238812448725385
"thought_death",0.214507528219893,0.0110265392273078,-0.00956330675601269,0.265708081544265,-0.238812448725385,0
