"","tired","sleep","highstand","relax","anxiety","urge_restrict"
"tired",0,0.0616288855653119,-0.165285506942944,-0.144733116306313,0.0632143067757699,0.052205300186322
"sleep",0.0616288855653119,0,-0.156357616441072,0.167834148765023,-0.126179465849186,-0.0181167541547859
"highstand",-0.165285506942944,-0.156357616441072,0,0.110833971019024,0.046862539503543,0.0248792785748696
"relax",-0.144733116306313,0.167834148765023,0.110833971019024,0,0.494497839853699,-0.0126991400730825
"anxiety",0.0632143067757699,-0.126179465849186,0.046862539503543,0.494497839853699,0,0.165571448145167
"urge_restrict",0.052205300186322,-0.0181167541547859,0.0248792785748696,-0.0126991400730825,0.165571448145167,0
