"graph","type","node","measure","value"
"graph 1","PCC","eat_anx","Strength",1.19944864356427
"graph 1","PCC","si","Strength",-0.748002166816858
"graph 1","PCC","heartrace","Strength",-0.332987443323586
"graph 1","PCC","laxdiur","Strength",1.14474286281482
"graph 1","PCC","sleep","Strength",-1.2571644281843
"graph 1","PCC","foodrules","Strength",-0.00603746805434344
"graph 1","PDC","eat_anx","InStrength",1.56628430167586
"graph 1","PDC","si","InStrength",0.0950084561973685
"graph 1","PDC","heartrace","InStrength",-0.129787676525657
"graph 1","PDC","laxdiur","InStrength",-0.983611072784668
"graph 1","PDC","sleep","InStrength",0.5636977216563
"graph 1","PDC","foodrules","InStrength",-1.1115917302192
"graph 1","PDC","eat_anx","OutStrength",0.424178267490108
"graph 1","PDC","si","OutStrength",0.433473472787948
"graph 1","PDC","heartrace","OutStrength",0.216208896189822
"graph 1","PDC","laxdiur","OutStrength",1.12323338169208
"graph 1","PDC","sleep","OutStrength",-1.77314428409748
"graph 1","PDC","foodrules","OutStrength",-0.423949734062482
