"","feelfat","bodydiss","wtshdiss","overvalwtsh","fowg","restrict"
"feelfat",0,0.286495527393548,0.316239818242995,-0.0344437136714761,-0.0345243525184038,-0.037634227591466
"bodydiss",0.286495527393548,0,-0.0259686375339131,0.378216527852911,0.0186898195984265,-0.129369107481841
"wtshdiss",0.316239818242995,-0.0259686375339131,0,0.205842337251133,0.0711003043923864,-0.0392861232721578
"overvalwtsh",-0.0344437136714761,0.378216527852911,0.205842337251133,0,0.0596005191589531,0.28914584618451
"fowg",-0.0345243525184038,0.0186898195984265,0.0711003043923864,0.0596005191589531,0,0.186338505053443
"restrict",-0.037634227591466,-0.129369107481841,-0.0392861232721578,0.28914584618451,0.186338505053443,0
