"","mistakes","reject","bodydiss","wtshdiss","overvalwtsh","fowg"
"mistakes",0.57020560983735,0.222975500363089,0.0731479515840361,-0.145046050427786,0.112436011593216,-0.000199261147273018
"reject",0.0727332740998971,0.38983445053261,-0.00470277706179273,0.0716437153773483,-0.0513255195031631,0.108076045343852
"bodydiss",-0.0338570211053173,0.115612394207301,0.0812745348665732,0.0406666956382116,0.0990622011050993,-0.0112173267495465
"wtshdiss",0.0213076210574184,-0.011812682083781,0.111652481355664,0.0630698894627011,-0.0295007135474484,-0.0924839593232046
"overvalwtsh",0.0442897193366299,-0.051828634616077,0.0731776596493968,0.0665458382377977,0.0436553563708008,0.117766355004315
"fowg",-0.0384608015697427,-0.0357189733155768,-0.215594470524606,0.00528251839511617,-0.0865450637883519,0.247134019450564
