"","sleep","urge_restrict","wtshdiss","overvalwtsh","feelfat","bodycheck"
"sleep",0.707306073281329,-0.00710759277784865,-0.0161122058253625,0.00208448946728348,-0.0274621704990701,0.0140814655664868
"urge_restrict",-0.00306494259253161,0.0823667963754294,0.0272274877779312,0.0529417074715315,-0.0237850257289125,-0.106992912052604
"wtshdiss",-0.0224307226733124,0.0605174149560981,0.160519092219658,0.0799954706268593,0.121087333374397,-0.152993152168714
"overvalwtsh",-0.0405691845417221,0.115945692191682,0.036104968855611,0.218908382573846,0.149568490723225,-0.0467625875689505
"feelfat",-0.00904904785757998,-0.0458659615331784,-0.00401448741637301,0.0527982749274374,0.0454693303859583,0.0927109902926684
"bodycheck",0.0251325764772767,-0.167927278059888,-0.011410798990707,-0.106142628435871,-0.0272710156273924,0.1925780426825
