"","mistakes","reject","bodydiss","wtshdiss","overvalwtsh","fowg"
"mistakes",0,0.445074297220138,0.130153241996187,-0.0038326014336556,0.0208884990016982,-0.0804375977133118
"reject",0.445074297220138,0,-0.0750788022753748,-0.0526253633106758,-0.0769829237929271,0.26451622583958
"bodydiss",0.130153241996187,-0.0750788022753748,0,-0.0152076698959939,0.0814224106478836,0.100553616098586
"wtshdiss",-0.0038326014336556,-0.0526253633106758,-0.0152076698959939,0,0.174529697423541,0.63931035438632
"overvalwtsh",0.0208884990016982,-0.0769829237929271,0.0814224106478836,0.174529697423541,0,-0.106068476583204
"fowg",-0.0804375977133118,0.26451622583958,0.100553616098586,0.63931035438632,-0.106068476583204,0
