"","physsens","tired","skipmeal","heartrace","sleep","physsens_eat"
"physsens",0.0770125969506218,-0.0869565851587421,-0.0458667341434539,-0.151223092767446,0.0449758013108529,0.00443516257199761
"tired",0.138508932540059,0.338141470438848,-0.131838159363665,0.00565930288551656,0.0744868058326807,0.0346711407232011
"skipmeal",-0.0646839740551078,-0.0429384610741961,0.00661713859644742,0.137867849495941,-0.0359461403350043,-0.0544401264532627
"heartrace",0.0573132986587391,-0.0783530588142007,0.122817106476267,0.230971901560467,-0.0411032203491194,0.144285739947688
"sleep",0.000257235745197808,0.000226058960626106,0.00362783751155981,-0.00198456805308,0.695221921262724,0.00156173346865899
"physsens_eat",0.0980473211772592,0.0857751113098028,0.0864640065820809,0.0808596712943842,-0.00466114074864238,-0.0326849803613492
