"","shame","feelfat","guilty","wtshdiss","bodydiss","ineffective"
"shame",0,0.414234184089267,0.487146167973682,-0.0471573905785089,-0.053349268870899,0.1469420842147
"feelfat",0.414234184089267,0,-0.221393702716702,0.446344044166731,0.331011888421805,-0.109895523373485
"guilty",0.487146167973682,-0.221393702716702,0,0.138626740980546,0.296048996953453,0.272767939824475
"wtshdiss",-0.0471573905785089,0.446344044166731,0.138626740980546,0,0.15616366057706,-0.195585628580817
"bodydiss",-0.053349268870899,0.331011888421805,0.296048996953453,0.15616366057706,0,0.102978136921851
"ineffective",0.1469420842147,-0.109895523373485,0.272767939824475,-0.195585628580817,0.102978136921851,0
