"","tired","sleep","highstand","relax","anxiety","urge_restrict"
"tired",0.300616899896225,-0.0344605721143943,0.210736558498022,-0.0398657527182471,0.0555464813790967,0.00781266319906388
"sleep",-0.0261910386786663,0.701203339818997,0.0104365651769175,-0.00972881720448387,0.011773798658571,0.00594730142202114
"highstand",0.277369931399385,0.0033231024022705,0.508471942323557,0.111588533145405,-0.0226945237409738,-0.0862330374529292
"relax",-0.0714457503286849,0.0402525106913441,-0.101748652737586,0.0373394060443924,0.159672570391408,-0.346977236658845
"anxiety",0.0706556193165864,-0.0849694280949885,0.1875468011215,0.157974429483529,0.0757997663532888,0.288521256854478
"urge_restrict",0.116313277096729,-0.0118293313941064,-0.285933328653652,0.0384329245723376,-0.059216111695065,0.249537079600251
