"","skipmeal","heartrace","socialanx","guilty","physsens","worryoverwhelm"
"skipmeal",0.128484339477318,0.259896114161216,0.0385552987340957,-0.0899271549168692,-0.0736464941099188,-0.0776065011918956
"heartrace",0.0584061849898283,0.337310613808756,-0.0394473016400995,-0.130364693630666,-0.145088376633013,-0.0338803800639945
"socialanx",0.172932648372324,-0.0760184888535218,0.0466329826118106,-0.162901255985673,0.14802235273807,0.0757256215086509
"guilty",0.0383119542678892,-0.0968764179181145,-0.00404528008093821,0.648961770957702,0.188401535816576,0.374298182067034
"physsens",-0.211138130856048,0.123290448416987,0.169323983813218,0.0386321352171714,0.0213035102787599,-0.254139078517705
"worryoverwhelm",0.0221715769054908,0.301489848145486,0.00653151923809515,-0.183089607797583,-0.19407497681566,-0.047863122493317
