"","highstand","tired","iuc","physsens","bodycheck","hunger_anx"
"highstand",0,-0.356785696066184,0.258179415929316,-0.514783739073858,0.376198198103597,0.498563399235341
"tired",-0.356785696066184,0,0.130966809022474,-0.31040271295947,0.0163750135094078,0.317825916928822
"iuc",0.258179415929316,0.130966809022474,0,0.377436474160415,-0.325872183364469,-0.35408509164944
"physsens",-0.514783739073858,-0.31040271295947,0.377436474160415,0,0.270084841580545,0.820828766471251
"bodycheck",0.376198198103597,0.0163750135094078,-0.325872183364469,0.270084841580545,0,-0.0961174143389068
"hunger_anx",0.498563399235341,0.317825916928822,-0.35408509164944,0.820828766471251,-0.0961174143389068,0
