"","highstand","tired","wtshdiss","bodydiss","mistakes","laxdiur"
"highstand",0.209503507949608,-0.324166976676596,0.206054185092179,-0.195355477418988,-0.0325890303702926,-0.230437665090068
"tired",0.078926661082636,0.210721209330478,-0.171547574303485,0.0751481954698929,0.412637903559213,-0.0305746596546793
"wtshdiss",0.0813162161175069,0.137185817067504,0.0783433139438648,0.340876265120884,0.0314379565484524,0.282069151104288
"bodydiss",-0.075803757978872,0.00683415761848232,0.0414392457300841,0.00161729375990162,-0.0250356818367659,-0.00312579088528137
"mistakes",0.0830193299643262,0.0654964995280397,0.0385889804987969,-0.0078505736976947,0.44136588614946,0.00781515365549318
"laxdiur",-0.130928459792426,-0.0592633194449929,0.0826147344015893,-0.0802816855365139,-0.679356228951727,0.15879651797021
