"","highstand","tired","wtshdiss","bodydiss","mistakes","laxdiur"
"highstand",0,0.206232723081208,-0.612527346882739,0.0980133431678571,-0.256729474199263,-0.208733687048871
"tired",0.206232723081208,0,0.222860831835646,0.545424573207579,0.528395851914322,0.538578874211833
"wtshdiss",-0.612527346882739,0.222860831835646,0,0.0230065552177129,-0.156875207834536,-0.234505519598097
"bodydiss",0.0980133431678571,0.545424573207579,0.0230065552177129,0,-0.160316128316513,-0.190988561075965
"mistakes",-0.256729474199263,0.528395851914322,-0.156875207834536,-0.160316128316513,0,-0.332012993703571
"laxdiur",-0.208733687048871,0.538578874211833,-0.234505519598097,-0.190988561075965,-0.332012993703571,0
