"","physsens_eat","smallportion","impulse","avoid_food","urge_restrict","binge"
"physsens_eat",0,0.501762629498531,0.0447770519557229,0.172138296489946,-0.316001447441309,0.314826764204161
"smallportion",0.501762629498531,0,0.0813494971537444,-0.0134515049405189,0.469286398832009,-0.467281617568357
"impulse",0.0447770519557229,0.0813494971537444,0,0.0608225178923549,-0.116937807263427,0.309946283382015
"avoid_food",0.172138296489946,-0.0134515049405189,0.0608225178923549,0,0.0717757269334606,-0.193577425606978
"urge_restrict",-0.316001447441309,0.469286398832009,-0.116937807263427,0.0717757269334606,0,-0.103566379036943
"binge",0.314826764204161,-0.467281617568357,0.309946283382015,-0.193577425606978,-0.103566379036943,0
