"","reject","saa","urge_restrict","bodydiss","foodrules","mistakes"
"reject",0.228170035829663,0.310048708917668,-0.0274350953410218,-0.0549811110747715,0.0153466941281893,0.135046875035499
"saa",0.0611725348054153,0.0069735850138658,0.151894703024471,-0.0573539524049506,0.176271898875813,0.0227653055473243
"urge_restrict",0.299828288701355,0.162429627337505,0.31233052977411,-0.0149985463861278,-0.0404948156731266,0.368743581883742
"bodydiss",-0.064822378374914,-0.0442479212589617,0.0328164367244618,0.410058294149456,0.0699881373895856,-0.0362225549628091
"foodrules",0.122770675820336,0.117605144665895,0.045608073551933,-0.0286776669518219,0.11904603740261,0.111753169458903
"mistakes",0.170841224344895,0.0293881512822389,-0.0267682258872362,0.0649591378561094,0.177258402158609,0.329097220358123
