"","ridthoughts","intrus_thought","compulsion","urge_restrict","feelfat","anxiety"
"ridthoughts",0.222883340275444,0.0984491354421546,0.0254392698468934,0.0411151139620812,-0.0177744418391436,0.138446996465893
"intrus_thought",0.0575207537944729,-0.0581906591398061,-0.0184846863168894,-0.00396701200459512,-0.0626320162786809,-0.166425189685827
"compulsion",0.0850717788678912,0.127312694732737,0.0213782287868851,-0.217743163130298,0.0598580871339991,0.175049339632224
"urge_restrict",0.0821356677943127,0.162547570939918,-0.0178418854593466,0.306566915388949,-0.128003495888528,-0.187788309181346
"feelfat",-0.125859938183604,0.089561915733353,0.107797306223779,0.164097809082391,0.305562415284988,0.619054286272518
"anxiety",-0.358932744750091,-0.22706700405046,-0.0333581432097055,-0.272028264096692,-0.0250279327256824,0.302386173609624
