"graph","type","node","measure","value"
"graph 1","PCC","vomit","Strength",1.03760481220241
"graph 1","PCC","binge","Strength",0.66174554105969
"graph 1","PCC","hunger_anx","Strength",0.864862047366612
"graph 1","PCC","foodrules","Strength",-0.334760860086797
"graph 1","PCC","fearloc","Strength",-1.37948114070605
"graph 1","PCC","avoid_food","Strength",-0.849970399835857
"graph 1","PDC","vomit","InStrength",-0.530268662781913
"graph 1","PDC","binge","InStrength",-0.141235243416524
"graph 1","PDC","hunger_anx","InStrength",0.195951520180492
"graph 1","PDC","foodrules","InStrength",-1.58345912587497
"graph 1","PDC","fearloc","InStrength",1.15866408254023
"graph 1","PDC","avoid_food","InStrength",0.90034742935269
"graph 1","PDC","vomit","OutStrength",1.08407682397683
"graph 1","PDC","binge","OutStrength",-0.509081196325918
"graph 1","PDC","hunger_anx","OutStrength",-0.140156328242913
"graph 1","PDC","foodrules","OutStrength",-0.462182293317012
"graph 1","PDC","fearloc","OutStrength",1.30440456134145
"graph 1","PDC","avoid_food","OutStrength",-1.27706156743244
