"","mistakes","reject","bodydiss","wtshdiss","overvalwtsh","fowg"
"mistakes",0,0.226869318982558,0.646733628932735,0.337384998304678,-0.0901668944899856,-0.511362404145485
"reject",0.226869318982558,0,-0.0307355119797357,-0.388453164703042,-0.398458522100051,0.51331136125683
"bodydiss",0.646733628932735,-0.0307355119797357,0,-0.203602024881693,0.137142477547648,0.379780013180071
"wtshdiss",0.337384998304678,-0.388453164703042,-0.203602024881693,0,0.0428376154168629,0.836702780729853
"overvalwtsh",-0.0901668944899856,-0.398458522100051,0.137142477547648,0.0428376154168629,0,0.0884254105828192
"fowg",-0.511362404145485,0.51331136125683,0.379780013180071,0.836702780729853,0.0884254105828192,0
