"","shame","guilty","mistakes","agitated","badperson","tired"
"shame",0,0.610007384779258,-0.0282490893225124,0.0809261299760216,0.0569697753365965,0.0794918674644803
"guilty",0.610007384779258,0,-0.123057476422762,-0.0478275594059944,-0.21289968915893,0.0890572237720965
"mistakes",-0.0282490893225124,-0.123057476422762,0,0.187304900861012,0.124182643519616,0.1113597836762
"agitated",0.0809261299760216,-0.0478275594059944,0.187304900861012,0,-0.102522007519562,0.166620796135112
"badperson",0.0569697753365965,-0.21289968915893,0.124182643519616,-0.102522007519562,0,0.110133401472297
"tired",0.0794918674644803,0.0890572237720965,0.1113597836762,0.166620796135112,0.110133401472297,0
