"","vomit","binge","hunger_anx","foodrules","fearloc","avoid_food"
"vomit",0.136037331592986,0.128559614959405,-0.138995670993966,-0.0694546546105479,-0.329938545961377,-0.238238809719865
"binge",-0.0129038701376861,-0.0220063440380288,0.0845579756879469,-0.00175157714211444,0.325740525066809,0.167801043271416
"hunger_anx",0.180568861790468,0.188153265290068,-0.0453461309760098,-0.0253845102649519,-0.122127160799707,-0.148870605721031
"foodrules",-0.21002573636868,-0.197740176365667,0.135177082289212,0.1535401839923,-0.013663985924557,0.045345297870747
"fearloc",-0.140661411197554,-0.120706823192412,0.208957277660786,0.165349183616712,0.271655226172145,0.312720808394889
"avoid_food",-0.0186317047430632,-0.0228589713513876,0.172867131491332,0.043052599818585,0.184736876169469,0.130007606164824
