"","desirethin","restrict","sleep","feelfat","bodydiss","wtshdiss"
"desirethin",0,0.470725887677895,0.0161675559205089,0.1277164136939,0.117006305985273,0.334802312755376
"restrict",0.470725887677895,0,0.0332116648229118,0.0982864374251554,0.120334398975267,0.0393137651413683
"sleep",0.0161675559205089,0.0332116648229118,0,0.173235680707719,0.177318023970849,-0.270491026079728
"feelfat",0.1277164136939,0.0982864374251554,0.173235680707719,0,-0.154878178842019,0.021458423939709
"bodydiss",0.117006305985273,0.120334398975267,0.177318023970849,-0.154878178842019,0,0.0451172086931351
"wtshdiss",0.334802312755376,0.0393137651413683,-0.270491026079728,0.021458423939709,0.0451172086931351,0
