"","fowg","feelfat","bodydiss","sens_body","highstand","wtshdiss"
"fowg",0,0.0751054019734567,-0.375382436553403,0.288005644102239,0.195271463333162,0.306082721956076
"feelfat",0.0751054019734567,0,0.14407487581587,-0.0185140683175009,0.250689918905974,0.112539577930098
"bodydiss",-0.375382436553403,0.14407487581587,0,0.699425680628959,0.184195740183613,0.386553292779022
"sens_body",0.288005644102239,-0.0185140683175009,0.699425680628959,0,-0.00706346422388704,-0.444460220781049
"highstand",0.195271463333162,0.250689918905974,0.184195740183613,-0.00706346422388704,0,0.324903167186989
"wtshdiss",0.306082721956076,0.112539577930098,0.386553292779022,-0.444460220781049,0.324903167186989,0
