"graph","type","node","measure","value"
"graph 1","PCC","physsens","Strength",0.964584042961412
"graph 1","PCC","skipmeal","Strength",-1.70120710965485
"graph 1","PCC","heartrace","Strength",0.339853003633097
"graph 1","PCC","tired","Strength",0.317143641949543
"graph 1","PCC","intrus_thought","Strength",-0.651642376213219
"graph 1","PCC","sad","Strength",0.731268797324023
"graph 1","PDC","physsens","InStrength",1.40363650774099
"graph 1","PDC","skipmeal","InStrength",1.12600472082956
"graph 1","PDC","heartrace","InStrength",-0.964220084603431
"graph 1","PDC","tired","InStrength",-0.478856323642167
"graph 1","PDC","intrus_thought","InStrength",-0.62260018300561
"graph 1","PDC","sad","InStrength",-0.46396463731934
"graph 1","PDC","physsens","OutStrength",-0.509858415295654
"graph 1","PDC","skipmeal","OutStrength",0.269849706418985
"graph 1","PDC","heartrace","OutStrength",0.542392725914207
"graph 1","PDC","tired","OutStrength",1.57439366857838
"graph 1","PDC","intrus_thought","OutStrength",-0.680345242906182
"graph 1","PDC","sad","OutStrength",-1.19643244270974
