"","highstand","reject","scared","eat_worry","feelfat","eat_anx"
"highstand",0,-0.0642172038833935,0.0305574967670681,0.321871696937156,0.182491087671905,-0.286675544305279
"reject",-0.0642172038833935,0,-0.10181866650845,0.170356601570842,0.0524031962837025,0.0160619703612365
"scared",0.0305574967670681,-0.10181866650845,0,0.0664274045134604,0.167134001939698,-0.00978096644117829
"eat_worry",0.321871696937156,0.170356601570842,0.0664274045134604,0,-0.131299707883377,0.323788010613598
"feelfat",0.182491087671905,0.0524031962837025,0.167134001939698,-0.131299707883377,0,0.306311744969624
"eat_anx",-0.286675544305279,0.0160619703612365,-0.00978096644117829,0.323788010613598,0.306311744969624,0
