"","reject","saa","urge_restrict","bodydiss","foodrules","mistakes"
"reject",0,0.0809776579796524,0.0761391256824631,-0.118995523086095,-0.0844597641425161,0.555907046849993
"saa",0.0809776579796524,0,-0.00755874289741032,-0.0922814199426319,0.481276144535582,0.218963868966976
"urge_restrict",0.0761391256824631,-0.00755874289741032,0,0.431416717889543,0.151176893474175,-0.0635498047304652
"bodydiss",-0.118995523086095,-0.0922814199426319,0.431416717889543,0,-0.0336270040437939,0.058495250201893
"foodrules",-0.0844597641425161,0.481276144535582,0.151176893474175,-0.0336270040437939,0,-0.104019771412502
"mistakes",0.555907046849993,0.218963868966976,-0.0635498047304652,0.058495250201893,-0.104019771412502,0
