"","smallportion","foodrules","bodydiss","restrict","exercise","feelfat"
"smallportion",0.205232526347265,0.361999072839523,-0.0701372417054455,-0.00763719164589198,0.244928640263226,-0.0233213074317643
"foodrules",0.0729046280184221,0.115399946610042,-0.236391733921889,0.073006304101882,-0.152608731911829,-0.211188151387558
"bodydiss",-0.0813375674777989,0.024370871306632,0.202931654756223,0.125703201816726,-0.0581363933470531,0.153777952652342
"restrict",0.0375387429409088,0.034336104346539,0.0445045084905418,0.192804660756212,0.0146639439848615,0.0664429994982307
"exercise",0.195587773498252,0.0116405850669823,0.0996704912493463,0.101792867352258,0.312066390403517,0.0179942195244285
"feelfat",0.0412320336772427,-0.0392920542279166,0.295964482160655,-0.122722620214112,0.196729920173754,0.371864041130582
