"","fearloc","iuc","urge_restrict","exercise","feelfat","bodydiss"
"fearloc",0.211248983277118,0.000869495607591022,0.281072724856922,0.0672422610345439,0.0836378360074864,0.0266173827820772
"iuc",0.222353938190343,0.0512842857510002,-0.00724914622568381,0.0966855348545481,-0.156126207679641,-0.0128306216011583
"urge_restrict",0.234087400404199,0.29863255118216,0.404491894913305,0.401149772877269,0.0335813088890395,-0.00732979743394784
"exercise",-0.129808147531461,0.100502868901779,0.179676766333114,-0.0888071827231015,0.0277499390714993,0.22238540701405
"feelfat",0.249050137700709,0.12196357600203,0.100766919677305,0.226810015762852,0.286144868911684,-0.010017730198537
"bodydiss",-0.238285007995064,-0.107022864844507,-0.0364820997153958,-0.179140372779221,0.290318529317512,0.113462780211816
