"graph","type","node","measure","value"
"graph 1","PCC","mistakes","Strength",0.3851278108475
"graph 1","PCC","reject","Strength",-0.100788416628172
"graph 1","PCC","bodydiss","Strength",-0.405732606837224
"graph 1","PCC","wtshdiss","Strength",0.378380293621725
"graph 1","PCC","overvalwtsh","Strength",-1.62861128415269
"graph 1","PCC","fowg","Strength",1.37162420314886
"graph 1","PDC","mistakes","InStrength",0.295235105475194
"graph 1","PDC","reject","InStrength",1.24951425216167
"graph 1","PDC","bodydiss","InStrength",-0.119694212690182
"graph 1","PDC","wtshdiss","InStrength",-1.28334137597005
"graph 1","PDC","overvalwtsh","InStrength",0.845717492786359
"graph 1","PDC","fowg","InStrength",-0.987431261762988
"graph 1","PDC","mistakes","OutStrength",0.12076978062715
"graph 1","PDC","reject","OutStrength",-1.08019429911199
"graph 1","PDC","bodydiss","OutStrength",1.44339092418747
"graph 1","PDC","wtshdiss","OutStrength",-0.590832535827726
"graph 1","PDC","overvalwtsh","OutStrength",-0.777357012499129
"graph 1","PDC","fowg","OutStrength",0.884223142624222
