"graph","type","node","measure","value"
"graph 1","PCC","skipmeal","Strength",-0.30155822545013
"graph 1","PCC","sleep","Strength",-0.524503453410191
"graph 1","PCC","food_intrus","Strength",-0.46580024147733
"graph 1","PCC","tired","Strength",-0.764694930942988
"graph 1","PCC","urge_restrict","Strength",0.10158604939585
"graph 1","PCC","restrict","Strength",1.95497080188479
"graph 1","PDC","skipmeal","InStrength",0.0720550986413985
"graph 1","PDC","sleep","InStrength",-0.452200984090696
"graph 1","PDC","food_intrus","InStrength",-0.644735598767169
"graph 1","PDC","tired","InStrength",1.8549514869549
"graph 1","PDC","urge_restrict","InStrength",0.127774917824536
"graph 1","PDC","restrict","InStrength",-0.957844920562966
"graph 1","PDC","skipmeal","OutStrength",0.124915363812014
"graph 1","PDC","sleep","OutStrength",-1.3759490444057
"graph 1","PDC","food_intrus","OutStrength",0.182209571859999
"graph 1","PDC","tired","OutStrength",-0.362833748728409
"graph 1","PDC","urge_restrict","OutStrength",-0.259232508146786
"graph 1","PDC","restrict","OutStrength",1.69089036560889
