"","desirethin","restrict","sleep","feelfat","bodydiss","wtshdiss"
"desirethin",0.0397504726806318,-0.0511256194488479,-0.178772250074418,0.201373450010121,0.0899995663660073,-0.105502720947023
"restrict",0.149413776740146,0.182322167173606,0.324616896076733,-0.170923846807963,-0.14357440908744,0.0592703862303637
"sleep",0.00453848689707721,0.0011528096564459,0.683681877297094,0.00140542193629179,-0.000157771840412524,0.0031633748859897
"feelfat",0.158864817407536,0.0214753559238286,-0.0783148069615629,0.00148194946768635,-0.0637194333172124,0.176670889819469
"bodydiss",-0.153646115451808,0.0239496854870397,-0.0281701489265526,-0.0502136182718271,-0.173137726118655,-0.00953319307635795
"wtshdiss",-0.22422209313141,-0.0777694997068854,-0.0651419490561619,-0.0723478787767686,0.113285536309441,0.0841140563558992
