"","shame","guilty","feelfat","wtshdiss","ineffective","bodydiss"
"shame",0,0.443848919895172,0.279809459304841,-0.112215540633797,0.174264237288991,0.0105231307988573
"guilty",0.443848919895172,0,-0.189264812908802,0.173738252924497,0.243484442397881,0.25929504193676
"feelfat",0.279809459304841,-0.189264812908802,0,0.581403985497982,-0.288514810559534,0.173949344383881
"wtshdiss",-0.112215540633797,0.173738252924497,0.581403985497982,0,0.111968614392871,0.315662803500918
"ineffective",0.174264237288991,0.243484442397881,-0.288514810559534,0.111968614392871,0,-0.0247733660776201
"bodydiss",0.0105231307988573,0.25929504193676,0.173949344383881,0.315662803500918,-0.0247733660776201,0
