"","rumination","saa","eat_public","vomit","restrict","hunger_anx"
"rumination",0,0.0854847642611125,0.181930944094191,-0.0493708204730038,0.00749459603388153,0.268001511668793
"saa",0.0854847642611125,0,-0.130814413787833,-0.0123297179794469,-0.530850680724946,-0.204155573673928
"eat_public",0.181930944094191,-0.130814413787833,0,0.324863933007192,-0.086938036158099,-0.10082786028122
"vomit",-0.0493708204730038,-0.0123297179794469,0.324863933007192,0,0.179804826451765,-0.0570553985779744
"restrict",0.00749459603388153,-0.530850680724946,-0.086938036158099,0.179804826451765,0,0.0250204253914389
"hunger_anx",0.268001511668793,-0.204155573673928,-0.10082786028122,-0.0570553985779744,0.0250204253914389,0
