"","smallportion","foodrules","bodydiss","restrict","exercise","feelfat"
"smallportion",0,0.147092908779151,0.293712745910856,-0.00921218097985191,-0.256917932822527,-0.305974982992972
"foodrules",0.147092908779151,0,-0.195342649957287,0.342905738932155,-0.0275340118599946,0.138460128492274
"bodydiss",0.293712745910856,-0.195342649957287,0,0.0164619889488862,-0.13937472506276,0.720469491765144
"restrict",-0.00921218097985191,0.342905738932155,0.0164619889488862,0,0.204454625624725,0.114794361603691
"exercise",-0.256917932822527,-0.0275340118599946,-0.13937472506276,0.204454625624725,0,0.018288327302302
"feelfat",-0.305974982992972,0.138460128492274,0.720469491765144,0.114794361603691,0.018288327302302,0
